iter	RMSE	Huber:delta=0.5
213	5.143665565	0.3209832631
214	5.14075172	0.3208199333
215	5.137027847	0.3205487889
216	5.134820118	0.3203875989
217	5.133688547	0.3202978223
218	5.131738529	0.3201405936
219	5.130622789	0.3199794321
220	5.128349789	0.3197326374
221	5.125100159	0.3194958767
222	5.123501734	0.3193669901
223	5.120717431	0.3192022866
224	5.119106489	0.3190708537
225	5.116080433	0.3189140158
226	5.112828818	0.318748241
227	5.1103594	0.3186121656
228	5.108191717	0.3184473253
229	5.105483479	0.3183052097
230	5.103412738	0.3181848685
231	5.101119986	0.317997044
232	5.099702621	0.3178847262
233	5.097359935	0.3177524625
234	5.09447587	0.3175873927
235	5.092977076	0.317461482
236	5.090783605	0.31733268
237	5.088353455	0.3170616914
238	5.085977344	0.3169056891
239	5.083844016	0.3167817132
240	5.081397229	0.3165348224
241	5.079803511	0.316426285
242	5.076502573	0.3161960548
243	5.074480603	0.3159572695
244	5.073307554	0.3158665209
245	5.069361555	0.3156428245
246	5.067169439	0.3154957082
247	5.06393865	0.3153320678
248	5.061922455	0.3152103183
249	5.059892473	0.3150859085
250	5.057449075	0.314927458
251	5.0556284	0.314734592
252	5.053241329	0.3146033258
253	5.052142547	0.3145192511
254	5.05021836	0.3144048027
255	5.047935019	0.3142323444
256	5.046716177	0.3141398654
257	5.045039715	0.3140452085
258	5.042646501	0.3139193881
259	5.041271327	0.3138190974
260	5.038579363	0.3135883184
261	5.037010629	0.3135065031
262	5.03366941	0.3132082569
263	5.032151053	0.313123312
264	5.030524448	0.3129581985
265	5.027617647	0.3128070435
266	5.025337689	0.3126168433
267	5.022951761	0.312471783
268	5.021759206	0.3123827101
269	5.020930803	0.3123266486
270	5.019562445	0.3121274583
271	5.017293957	0.3119962512
272	5.014817883	0.3118698536
273	5.012000277	0.3116248472
274	5.010506931	0.3115161998
275	5.008031804	0.3113966831
276	5.006529566	0.3113100351
277	5.004735272	0.3112028886
278	5.00262026	0.3110871691
279	5.000982989	0.3109890029
280	4.999790052	0.3109130529
281	4.998152819	0.3108241358
282	4.995836655	0.3107083816
283	4.993855526	0.310577187
284	4.992376129	0.3104961856
285	4.991204408	0.3104198769
286	4.989744689	0.3103393779
287	4.987050149	0.310218366
288	4.985272797	0.310119854
289	4.983439699	0.3100102771
290	4.981747221	0.3099156815
291	4.980026503	0.3098081935
292	4.978348545	0.3097125403
293	4.976376217	0.3095588572
294	4.972896835	0.3093849484
295	4.971922484	0.309317806
296	4.968681079	0.3090758545
297	4.967430334	0.3089871253
298	4.965671882	0.3088937584
299	4.964459364	0.3088257438
300	4.963033032	0.3087463009
301	4.96015564	0.3086207015
302	4.958416326	0.3085275666
303	4.954956939	0.3083468026
304	4.953079444	0.3082541491
305	4.950664828	0.3081041983
306	4.948153056	0.3079883036
307	4.946020291	0.307879068
308	4.944676611	0.3076788063
309	4.943138415	0.3075919174
310	4.941198058	0.3074925519
311	4.938723221	0.307343649
312	4.93681779	0.307236412
313	4.934337197	0.3071130972
314	4.933338589	0.306999908
315	4.931505317	0.3069028452
316	4.930236915	0.3068260001
317	4.928871359	0.3067423666
318	4.926934289	0.3066415636
319	4.925610604	0.3065130586
320	4.92296993	0.3063132668
321	4.920479854	0.3062074835
322	4.918825607	0.3060253215
323	4.916951243	0.3059286104
324	4.914861998	0.3057254157
325	4.912672661	0.3056138215
326	4.910890002	0.3055301467
327	4.909495089	0.305454389
328	4.906929454	0.3053424642
329	4.905417002	0.3052494758
330	4.902967312	0.305144812
331	4.900708835	0.3050391424
332	4.898695413	0.3049485424
333	4.895345998	0.3048069859
334	4.89322989	0.3046998479
335	4.892089481	0.3046257946
336	4.889586214	0.304497627
337	4.887984757	0.3043335045
338	4.885860599	0.3042388472
339	4.884243694	0.304155866
340	4.882412176	0.3040702484
341	4.881069252	0.3039923689
342	4.878432593	0.3038653933
343	4.877063434	0.3037979802
344	4.875666131	0.3037287136
345	4.873178489	0.3036193873
346	4.87222744	0.30355835
347	4.870608683	0.3034732969
348	4.867454572	0.3033108698
349	4.865519964	0.3032196049
350	4.862016259	0.3029851047
351	4.860523186	0.3029058413
352	4.858696602	0.3028145839
353	4.857330096	0.3027423768
354	4.855449345	0.3026450656
355	4.854015111	0.3025556579
356	4.8517999	0.3024576966
357	4.850484039	0.302391147
358	4.848864361	0.3023158379
359	4.84758345	0.3021881253
360	4.845890992	0.3021246947
361	4.844604244	0.3020724289
362	4.842247055	0.3019795205
363	4.840083341	0.3019052192
364	4.83855035	0.3018366625
365	4.836210796	0.3017533277
366	4.833653741	0.3016513032
367	4.832767489	0.3016131851
368	4.831867588	0.3015692399
369	4.82984632	0.301485673
370	4.82865235	0.301444302
371	4.827849749	0.3013968338
372	4.826412388	0.3013393135
373	4.825686429	0.3012281184
374	4.823400666	0.3011453587
375	4.822005867	0.3010912114
376	4.820302653	0.3010289358
377	4.819121826	0.3009818568
378	4.81780325	0.300930281
379	4.816517672	0.3008870157
380	4.814912315	0.3008280685
381	4.814099931	0.3007526528
382	4.811645103	0.3006702526
383	4.810158411	0.3006126907
384	4.809376901	0.3005803717
385	4.808015041	0.3005300498
386	4.806770798	0.300484187
387	4.804945184	0.3004240725
388	4.802451973	0.3003323728
389	4.801111204	0.3002844825
390	4.799429255	0.3001986682
391	4.798307256	0.3001513896
392	4.796634457	0.300094826
393	4.795424439	0.3000512733
394	4.794555718	0.3000232691
395	4.793047035	0.2999246722
396	4.791432922	0.2998744963
397	4.790447134	0.2998360623
398	4.789792121	0.2997332523
399	4.787397536	0.2996566508
400	4.78509113	0.2995789273
401	4.783694717	0.2995303335
402	4.781205957	0.299452591
403	4.779742838	0.2993746678
404	4.777796808	0.2993111008
405	4.77677955	0.2992398594
406	4.773661196	0.2991338091
407	4.771132349	0.2990244846
408	4.769786374	0.2989753833
409	4.768777565	0.2989413779
410	4.766675923	0.2988730392
411	4.764967701	0.2987522611
412	4.763411337	0.2986292396
413	4.761133303	0.2985649217
414	4.760103037	0.2985238079
415	4.758359807	0.2984700929
416	4.75752065	0.2984411167
417	4.755368989	0.2983685777
418	4.753609178	0.29831095
419	4.751556103	0.298247994
420	4.748638561	0.2981386566
421	4.746829853	0.2980792897
422	4.74536426	0.2980222111
423	4.744384042	0.2979066662
424	4.742020332	0.2978282314
425	4.740896351	0.2977906958
426	4.739674158	0.2977394574
427	4.73822339	0.2976868195
428	4.735668177	0.2976009732
429	4.734391515	0.2975586081
430	4.732347146	0.2974929045
431	4.731044511	0.2974504257
432	4.729534176	0.297402661
433	4.728269976	0.2973616796
434	4.727132472	0.2973223993
435	4.726007414	0.2972819114
436	4.725094144	0.2972492836
437	4.72424683	0.2972017973
438	4.722783152	0.2971517375
439	4.720653012	0.2970764241
440	4.7190992	0.2970224399
441	4.718589831	0.2970026632
442	4.71659087	0.2969404442
443	4.714322975	0.2968323342
444	4.713426834	0.2968013085
445	4.710987871	0.2966878835
446	4.709785206	0.2966453573
447	4.7080818	0.2965798822
448	4.707313436	0.2965502175
449	4.7055001	0.2964931507
450	4.70418516	0.2964486373
451	4.702533903	0.2963933179
452	4.701583915	0.2963611415
453	4.699434842	0.2962956805
454	4.698339816	0.2962582213
455	4.69551006	0.2961343587
456	4.694532343	0.2960973677
457	4.693382824	0.2960574124
458	4.692480547	0.2960240321
459	4.690859753	0.2959751851
460	4.689262035	0.2959245197
461	4.687707605	0.2958751902
462	4.685885627	0.2957899665
463	4.683492834	0.2957199965
464	4.682070916	0.2956628466
465	4.68090633	0.295626841
466	4.679923831	0.2955945513
467	4.678452199	0.2955161054
468	4.676908847	0.2954031698
469	4.676071859	0.2953743824
470	4.675225277	0.295344523
471	4.672835638	0.2952569332
472	4.67175473	0.2951528119
473	4.669732993	0.2950924644
474	4.667429366	0.2950142531
475	4.666409415	0.2949764483
476	4.664216349	0.2949048353
477	4.66208606	0.2948356416
478	4.660250035	0.2947855924
479	4.658387441	0.2946991834
480	4.656239107	0.2946338745
481	4.654864542	0.2945784292
482	4.653303293	0.2945289721
483	4.651131853	0.294457386
484	4.650283254	0.2944254426
485	4.648615945	0.2943703845
486	4.64769857	0.2943322185
487	4.645930207	0.294269511
488	4.644303367	0.2942208685
489	4.642614328	0.2941707652
490	4.641412844	0.2941350768
491	4.640361408	0.2940870157
492	4.638697433	0.2940302287
493	4.637564625	0.2939431759
494	4.635845953	0.2938872292
495	4.634782544	0.2938520818
496	4.633616866	0.2938074429
497	4.632329712	0.2937657975
498	4.631639267	0.2937434803
499	4.630268395	0.2936957876
500	4.62797473	0.29362109
501	4.625259739	0.2935340492
502	4.623693199	0.2934879877
503	4.622072274	0.2934423178
504	4.620902627	0.293409046
505	4.618562931	0.2933299587
506	4.617014605	0.2932797277
507	4.615235881	0.2932015126
508	4.61282664	0.2931297373
509	4.610527931	0.2929895741
510	4.608313695	0.2929224282
511	4.6063267	0.2928616005
512	4.604181598	0.2927736476
513	4.602775366	0.2927291757
514	4.601014048	0.2926716951
515	4.598964977	0.2926128375
516	4.59739884	0.2925552875
517	4.595172594	0.2924888164
518	4.593699073	0.2924403538
519	4.591651321	0.2923830794
520	4.590307424	0.2923358007
521	4.588999682	0.2922928667
522	4.587236024	0.2922370492
523	4.585429592	0.2921835606
524	4.583079852	0.2921068575
525	4.580763001	0.2919897591
526	4.579849682	0.2919586516
527	4.578714212	0.2919243526
528	4.577556487	0.291887513
529	4.576791103	0.2918615305
530	4.575113399	0.2918053976
531	4.573864515	0.2917653551
532	4.571749845	0.2916803167
533	4.570327889	0.2916337273
534	4.568229948	0.2915712464
535	4.56739611	0.2915458993
536	4.565231045	0.2914839315
537	4.563613145	0.2914250526
538	4.56195319	0.2913695123
539	4.559631738	0.2912999676
540	4.558403645	0.2912470032
541	4.5577125	0.2912208493
542	4.556525036	0.291178726
543	4.555442679	0.2911387903
544	4.554028236	0.2909888717
545	4.551849391	0.2909142074
546	4.549894363	0.2908511287
547	4.548923942	0.2908186267
548	4.547731055	0.2907791269
549	4.545600256	0.2907172095
550	4.54396443	0.2906645911
551	4.541857104	0.2905926615
552	4.540026549	0.2905217532
553	4.537527545	0.2904469141
554	4.536144038	0.2903986627
555	4.533642665	0.2903240328
556	4.532266567	0.2902637571
557	4.530192945	0.2901845337
558	4.529259296	0.2901584666
559	4.527805887	0.2901111397
560	4.525930189	0.2900497035
561	4.52425112	0.2899978682
562	4.522555557	0.2899433651
563	4.521363295	0.2899088747
564	4.519799834	0.2898625846
565	4.518552499	0.2898206982
566	4.517424175	0.2897856766
567	4.514352783	0.2896845772
568	4.512905345	0.2896374331
569	4.511503784	0.2895911863
570	4.509135696	0.2895226188
571	4.507489556	0.2894681866
572	4.505977335	0.2894144099
573	4.504368496	0.2893551092
574	4.503557679	0.2893261069
575	4.501084269	0.2892520634
576	4.498881952	0.2891660453
577	4.496933821	0.2891073102
578	4.495904622	0.2890734589
579	4.49441755	0.2890244054
580	4.493389614	0.288990907
581	4.491068957	0.2889174954
582	4.489385251	0.2888146858
583	4.488258291	0.2887812112
584	4.486617109	0.2887312737
585	4.485654542	0.288700713
586	4.483830226	0.288646729
587	4.481902957	0.2885904843
588	4.481078395	0.2885644642
589	4.479090571	0.2884868549
590	4.477948258	0.2884501423
591	4.47673694	0.2884132783
592	4.475614942	0.2883800098
593	4.473979479	0.2883231523
594	4.471669513	0.2882493745
595	4.469682435	0.2881945161
596	4.468119944	0.2881429718
597	4.466319336	0.2880903099
598	4.465447676	0.2880612003
599	4.464154361	0.288019837
600	4.463211928	0.2879880072
601	4.461925666	0.2879365204
602	4.460719448	0.2878971163
603	4.458891002	0.2878382559
604	4.457699812	0.2877966622
605	4.455786952	0.2877407239
606	4.455220664	0.2876992433
607	4.453643344	0.2876423312
608	4.45169427	0.2875660543
609	4.450011326	0.287512159
610	4.44813791	0.2874561007
611	4.447088322	0.2874219332
612	4.446180926	0.2873901803
613	4.445254928	0.2873602851
614	4.443584586	0.287268078
615	4.442601668	0.2872370332
616	4.441016892	0.2871293191
617	4.439046958	0.2870707517
618	4.437831213	0.2870319311
619	4.43618442	0.2869843422
620	4.434597967	0.2869353532
621	4.432824099	0.2868849044
622	4.430712731	0.2868222149
623	4.429429069	0.2867294909
624	4.427059593	0.2866544942
625	4.426353365	0.2866338281
626	4.425576582	0.2866027598
627	4.424544349	0.2865689852
628	4.422763084	0.2865128172
629	4.42115868	0.286465855
630	4.420123924	0.2863803863
631	4.418093332	0.2863210329
632	4.417044599	0.2862306026
633	4.415704085	0.286189083
634	4.414560689	0.2861469047
635	4.412587526	0.2860896758
636	4.411370052	0.2860553974
637	4.409882382	0.2860112486
638	4.408456029	0.285958827
639	4.406513193	0.2859050358
640	4.405575441	0.2858753048
641	4.404111976	0.285751614
642	4.402590473	0.2857009337
643	4.400796535	0.2856371712
644	4.400164585	0.2856129041
645	4.39929687	0.285581929
646	4.397822623	0.2855341681
647	4.396058775	0.285475427
648	4.394239276	0.2854154292
649	4.392905263	0.2853721173
650	4.390559627	0.2852962834
651	4.388879611	0.2852501236
652	4.387012913	0.2851953504
653	4.385236653	0.285141936
654	4.38457506	0.2851232393
655	4.383316112	0.2850826197
656	4.381205139	0.2850164674
657	4.379852959	0.2849747884
658	4.378614738	0.2849383184
659	4.376945907	0.2848864118
660	4.375408432	0.2848374166
661	4.373245749	0.2847745766
662	4.371999557	0.2847372377
663	4.370102751	0.2846831588
664	4.367905641	0.2846181686
665	4.366284089	0.28457255
666	4.364722987	0.2845259429
667	4.362874124	0.2844706093
668	4.361768906	0.2844378626
669	4.360399126	0.2843933261
670	4.359769009	0.2843742836
671	4.358584928	0.284334429
672	4.357291468	0.2842907957
673	4.355769319	0.2842417209
674	4.35423242	0.2841982085
675	4.352900995	0.2841586122
676	4.350562027	0.2840854103
677	4.349810152	0.2840639423
678	4.348264021	0.2840162557
679	4.34698239	0.2839786148
680	4.346490015	0.283904199
681	4.345432777	0.2838188673
682	4.343933434	0.2837775903
683	4.342031443	0.283720721
684	4.340584983	0.283677478
685	4.33902076	0.2836317075
686	4.337913554	0.2835991306
687	4.336993886	0.2835581514
688	4.33502362	0.2834487438
689	4.333601609	0.2834072767
690	4.331770319	0.2833548852
691	4.329946402	0.2833001999
692	4.329363264	0.2832811253
693	4.327266397	0.2832164111
694	4.326298015	0.2831865491
695	4.325803906	0.2831690392
696	4.324204863	0.2830992131
697	4.322165612	0.2830406483
698	4.320997416	0.283005126
699	4.319251089	0.282958132
700	4.318304156	0.2829287357
701	4.316766999	0.2828779367
702	4.315592174	0.2828430658
703	4.313706828	0.2827890168
704	4.312286345	0.2827507053
705	4.310351643	0.2826959461
706	4.309546544	0.2826670933
707	4.30894622	0.2826505953
708	4.306475702	0.2825706396
709	4.305730274	0.2825424832
710	4.304035092	0.2824950891
711	4.302097842	0.2824413011
712	4.30066084	0.2823935613
713	4.29877321	0.2823366216
714	4.297636825	0.2823031683
715	4.296783674	0.2822041164
716	4.294727555	0.282144524
717	4.294091869	0.2821245485
718	4.292794751	0.2820748349
719	4.291825127	0.2820452796
720	4.290838581	0.2820063544
721	4.289776285	0.2819660036
722	4.288230498	0.2819174794
723	4.287801876	0.2818787555
724	4.286307022	0.2818286007
725	4.285111887	0.2817936187
726	4.283795789	0.2817507551
727	4.282037156	0.2817002999
728	4.280004256	0.2816397671
729	4.278371482	0.2815955818
730	4.27715166	0.2815583403
731	4.27592699	0.2815221018
732	4.274077366	0.2814662521
733	4.272734102	0.2814270034
734	4.271602921	0.2813904815
735	4.270539855	0.281307271
736	4.268558806	0.2812502567
737	4.267430503	0.2812150336
738	4.265806432	0.2811711504
739	4.264551354	0.281135317
740	4.2630656	0.2810878634
741	4.262092732	0.2810357555
742	4.260819544	0.2809986309
743	4.259623914	0.2809630898
744	4.257799653	0.2809106204
745	4.256896469	0.2808798892
746	4.255258282	0.2808337814
747	4.253732775	0.2807890959
748	4.251807138	0.2807123239
749	4.250436204	0.2806726883
750	4.248653898	0.2806222816
751	4.246778001	0.2805688622
752	4.245166605	0.2805224583
753	4.243459794	0.2804663114
754	4.24156488	0.28040756
755	4.240295883	0.28036888
756	4.238962288	0.2802749616
757	4.2372822	0.280227118
758	4.235731871	0.2801797303
759	4.234602059	0.2801436239
760	4.232582859	0.2800870391
761	4.231566162	0.2800521127
762	4.230524243	0.280017061
763	4.229797482	0.2799940302
764	4.22860439	0.2799528515
765	4.227615796	0.2799223387
766	4.226575097	0.2798916561
767	4.226087272	0.2798745594
768	4.224036377	0.2798133614
769	4.222944261	0.2797798544
770	4.221779187	0.2797385447
771	4.220833543	0.2797101593
772	4.219576595	0.279670826
773	4.21803688	0.2796249244
774	4.2169517	0.2795902596
775	4.215193598	0.27954347
776	4.214044194	0.2795080399
777	4.212104681	0.2794533779
778	4.211508453	0.2794344403
779	4.210508567	0.2793863738
780	4.209649347	0.2793577219
781	4.208503186	0.279323626
782	4.207681564	0.2793006209
783	4.206296564	0.2792642092
784	4.205108724	0.2792274885
785	4.203718494	0.279182277
786	4.201938553	0.2791231533
787	4.200603907	0.2790841406
788	4.199758222	0.2790565605
789	4.198625455	0.2790190798
790	4.197437906	0.2789770864
791	4.195431868	0.278917824
792	4.194055351	0.2788724972
793	4.193081923	0.2788193974
794	4.192256623	0.2787691423
795	4.191318609	0.2787397612
796	4.18943544	0.2786871692
797	4.187843682	0.2786389997
798	4.186445349	0.2785913286
799	4.185607363	0.27856388
800	4.183740151	0.2785112429
801	4.182863444	0.2784814185
802	4.181316019	0.2784396655
803	4.179398165	0.278384612
804	4.177660218	0.2783350877
805	4.176284862	0.2782936082
806	4.174604049	0.2782453012
807	4.173460868	0.2782138536
808	4.172256494	0.2781723289
809	4.171269122	0.278140676
810	4.169529495	0.278063127
811	4.167684566	0.2780081886
812	4.166514582	0.2779734872
813	4.16532556	0.2779361294
814	4.164250552	0.2779000769
815	4.163137648	0.2778668585
816	4.162433427	0.2778465255
817	4.16125865	0.2778117126
818	4.160296371	0.2777822174
819	4.158417214	0.2777195709
820	4.157352946	0.2776817077
821	4.156376472	0.2776457452
822	4.154633853	0.2775769826
823	4.152651328	0.2775204003
824	4.15161149	0.2774911645
825	4.150299432	0.2774433645
826	4.148742241	0.2774020075
827	4.147074278	0.2773513754
828	4.145830585	0.2773092975
829	4.144589944	0.277269834
830	4.143035515	0.2772245879
831	4.142310307	0.2772027137
832	4.140539796	0.2771514541
833	4.139593873	0.2771225742
834	4.137795766	0.2770683448
835	4.135989533	0.2770166255
836	4.134948221	0.2769859696
837	4.133920284	0.2769558299
838	4.1325371	0.2769097281
839	4.130836287	0.2768559606
840	4.129424369	0.276810391
841	4.128628218	0.2767853011
842	4.127213647	0.276738594
843	4.126082057	0.2766715113
844	4.12464843	0.2766297181
845	4.12366312	0.2766006327
846	4.122709008	0.2765728076
847	4.120769479	0.2765178479
848	4.11940861	0.2764740496
849	4.117409858	0.2764158949
850	4.115640055	0.2763588884
851	4.114310344	0.2763173487
852	4.11264996	0.2762719135
853	4.11181224	0.2762452155
854	4.110452291	0.2762037906
855	4.109439884	0.2761744392
856	4.108105028	0.2761348411
857	4.106196943	0.2760618551
858	4.104561427	0.2760113409
859	4.103512931	0.2759816212
860	4.101697078	0.2759254171
861	4.100612628	0.2758922803
862	4.099257684	0.2758484749
863	4.098325996	0.2757430349
864	4.097547676	0.2757171932
865	4.095689931	0.2756435378
866	4.093640983	0.2755847934
867	4.092345063	0.2755466243
868	4.090540964	0.2754961883
869	4.088771756	0.2754455869
870	4.087040951	0.2753956679
871	4.085383363	0.2753499798
872	4.084282167	0.2753168761
873	4.082403337	0.2752253251
874	4.080922342	0.2751824037
875	4.079262015	0.2751329029
876	4.078202397	0.275104176
877	4.076913183	0.2750647469
878	4.075262896	0.2750147084
879	4.073766741	0.2749702447
880	4.072322633	0.2749201975
881	4.070407667	0.2748655367
882	4.06911977	0.2748235295
883	4.06748923	0.274773003
884	4.06652515	0.2747468884
885	4.064879676	0.2747014537
886	4.063313671	0.2746550894
887	4.062276947	0.2746234703
888	4.06135838	0.274595214
889	4.05955824	0.2745436427
890	4.05791519	0.2744982081
891	4.056185956	0.2744423777
892	4.055276334	0.2744098777
893	4.053576169	0.274356106
894	4.052928858	0.2743319695
895	4.051777204	0.2742967034
896	4.050007659	0.2742469454
897	4.048908598	0.2742143854
898	4.04789027	0.2741857443
899	4.045807886	0.2741250659
900	4.04482427	0.2740918201
901	4.043311484	0.2740345271
902	4.042324855	0.2740020986
903	4.040641751	0.2739509081
904	4.03880469	0.273898516
905	4.036946226	0.2737795199
906	4.035912728	0.2736884826
907	4.03421545	0.273625348
908	4.032995953	0.273588004
909	4.031858342	0.2735527661
910	4.031201586	0.2735310974
911	4.030188617	0.2735029781
912	4.028437371	0.2734518221
913	4.027227845	0.2734131857
914	4.025866581	0.2733753259
915	4.024093383	0.2733237526
916	4.022861707	0.2732794265
917	4.02154642	0.273212685
918	4.02089342	0.273187015
919	4.020273749	0.2731657662
920	4.019194491	0.2731325989
921	4.017775514	0.2730740481
922	4.01622643	0.2730315538
923	4.015526871	0.2730106625
924	4.014562862	0.2729763168
925	4.013847985	0.2729535041
926	4.012992281	0.272922893
927	4.012362251	0.2729019965
928	4.010955086	0.2728638478
929	4.010085946	0.2728372922
930	4.008850353	0.2728027248
931	4.007970508	0.2727618991
932	4.007251402	0.2726952805
933	4.005824767	0.272643651
934	4.005127952	0.2726203665
935	4.004220884	0.272592284
